"myTeam game, 21 Feb 2020",,,,,,,
"

",,,,,,,
Team Totals,,,,,,,
"

",,,,,,,
Distance (km),Distance in High Intensity Zones (km),Sprints,Progressive Sprints,,,,
57.7,13.1,106,46,,,,
"

",,,,,,,
Team Averages,,,,,,,
"

",,,,,,,
Distance (km),Distance in High Intensity Zones (km),Sprints,Progressive Sprints,Average Velocity (km/h),,,
7,1.6,12.9,4.6,7.1,,,
"

",,,,,,,
Player Metrics,,,,,,,
"

",,,,,,,
Tracker #,First Name,Last Name,Time on Pitch (mins),Distance (km),Distance in High Intensity Zones (km),Sprints,Progressive Sprints
10,Ben,Diga,17,1.6,0.4,5,3
9,Eden,Azaria,16,1.2,0.3,2,0
17,Oz,Ifrah,90,6.8,1.3,11,0
11,maor,lankri,90,6.9,1.4,13,5
20,Tal,Haba,85,7,1.8,14,5
15,Ofek,Balsan,90,6.4,1.5,17,4
12,oran,shiri,90,7.4,2.1,16,7
14,Bar,Mizrahi,78,6,1.3,17,12
19,Nano,Vaknin,90,6.7,1.4,10,6
16,Carlos,Chakana,90,7.2,1.6,14,4
18,David,Afanger ,90,5.4,1.2,8,1
13,Mor,Mor,90,5.1,1.1,7,1
,,,,,,,
מרחק ריצה ממוצע-,,6.49,,,,,
כמות ספרינטים ממוצעת-,,12.7,,,,,
